date,product,sales,region
2024/1/1,TOZO A1,1200,North
2024/1/1,Xiaomi Redmi Buds 4 Active,850,South
2024/1/2,[ready stock] tws 5.0 Bluetooth earphone 9D HIFI Wireless Earbuds Headphone Waterproof headset À¶ÑÀ¶ú»ú,1350,North
2024/1/2,TOZO A1,920,South
2024/1/3,TOZO A1,1100,North
2024/1/3,Xiaomi Redmi Buds 4 Active,780,South
2024/1/4,TOZO A1,1450,North
2024/1/4,[ready stock] tws 5.0 Bluetooth earphone 9D HIFI Wireless Earbuds Headphone Waterproof headset À¶ÑÀ¶ú»ú,1020,South
2024/1/5,Xiaomi Redmi Buds 4 Active,1280,North
2024/1/5,[ready stock] tws 5.0 Bluetooth earphone 9D HIFI Wireless Earbuds Headphone Waterproof headset À¶ÑÀ¶ú»ú,890,South
